center_id,meal_id,week,actual_demand,point_forecast,q_historical_mean,surplus_historical_mean,shortage_historical_mean,q_p50,surplus_p50,shortage_p50,q_p70,surplus_p70,shortage_p70,q_p80,surplus_p80,shortage_p80,q_p90,surplus_p90,shortage_p90,q_p95,surplus_p95,shortage_p95
10,1062,136,918,930.180699497645,955.0962962962963,37.09629629629626,0.0,930.180699497645,12.180699497645037,0.0,949.5838474981189,31.58384749811887,0.0,971.3309525569457,53.330952556945704,0.0,1024.361833249116,106.36183324911599,0.0,1088.647931286439,170.64793128643896,0.0
10,1062,137,703,916.9275504843102,955.0962962962963,252.09629629629626,0.0,916.9275504843102,213.92755048431025,0.0,937.8193234653638,234.81932346536382,0.0,961.0487757081631,258.04877570816313,0.0,1020.0957821336907,317.0957821336907,0.0,1098.30671455731,395.30671455731,0.0
10,1062,138,513,915.8425631904321,955.0962962962963,442.09629629629626,0.0,915.8425631904321,402.8425631904321,0.0,933.0998496426624,420.09984964266243,0.0,955.4647899736666,442.4647899736666,0.0,1003.2435981600139,490.2435981600139,0.0,1074.7630562071633,561.7630562071633,0.0
10,1062,139,824,915.8425631904321,955.0962962962963,131.09629629629626,0.0,915.8425631904321,91.84256319043209,0.0,937.6206868827621,113.62068688276213,0.0,962.2924044868827,138.29240448688267,0.0,1009.1154221754701,185.11542217547014,0.0,1067.2703737148602,243.27037371486017,0.0
10,1062,140,1014,915.8425631904321,955.0962962962963,0.0,58.90370370370374,915.8425631904321,0.0,98.15743680956791,937.8881075807589,0.0,76.11189241924114,960.1425141717796,0.0,53.85748582822043,1006.6892039808482,0.0,7.3107960191517805,1063.573635511478,49.57363551147796,0.0
10,1062,141,890,849.7435038325799,955.0962962962963,65.09629629629626,0.0,849.7435038325799,0.0,40.256496167420096,871.6332902406182,0.0,18.36670975938182,896.0481697535607,6.048169753560728,0.0,943.7241331460028,53.72413314600283,0.0,993.2738485505917,103.27384855059165,0.0
10,1062,142,919,894.0112619536852,955.0962962962963,36.09629629629626,0.0,894.0112619536852,0.0,24.98873804631478,923.6650894439374,4.665089443937404,0.0,950.5824672860527,31.582467286052747,0.0,1005.6630877777737,86.66308777777374,0.0,1088.3308883719953,169.33088837199534,0.0
10,1062,143,1120,915.8425631904321,955.0962962962963,0.0,164.90370370370374,915.8425631904321,0.0,204.1574368095679,938.0894520300434,0.0,181.9105479699566,962.1005200770699,0.0,157.89947992293014,1013.4932499463185,0.0,106.50675005368146,1076.4610861387043,0.0,43.53891386129567
10,1062,144,945,915.8425631904321,955.0962962962963,10.09629629629626,0.0,915.8425631904321,0.0,29.157436809567912,939.2525291077061,0.0,5.747470892293904,968.9127414546648,23.912741454664797,0.0,1014.6615829074694,69.66158290746944,0.0,1073.047831022107,128.04783102210695,0.0
10,1062,145,958,915.8425631904321,955.0962962962963,0.0,2.9037037037037408,915.8425631904321,0.0,42.15743680956791,936.7345901279253,0.0,21.265409872074656,958.9185211803863,0.9185211803862785,0.0,1004.1485281736668,46.14852817366682,0.0,1066.655674355224,108.65567435522394,0.0
10,1109,136,1621,1425.6799923510052,1519.651851851852,0.0,101.34814814814808,1425.6799923510052,0.0,195.32000764899476,1450.2875589752089,0.0,170.71244102479113,1474.3638294516993,0.0,146.6361705483007,1521.5272835679505,0.0,99.47271643204954,1587.1179058486118,0.0,33.88209415138817
10,1109,137,1390,1340.8623567711495,1519.651851851852,129.65185185185192,0.0,1340.8623567711495,0.0,49.13764322885049,1359.6008616307936,0.0,30.399138369206412,1388.3332993967852,0.0,1.6667006032148493,1440.1411647590892,50.14116475908918,0.0,1495.8627845044125,105.8627845044125,0.0
10,1109,138,1850,1331.9113494213307,1519.651851851852,0.0,330.3481481481481,1331.9113494213307,0.0,518.0886505786693,1356.5377444431424,0.0,493.4622555568576,1379.385392339152,0.0,470.6146076608479,1417.0201146383804,0.0,432.9798853616196,1488.0639771908056,0.0,361.93602280919436
10,1109,139,1513,1367.1589766060363,1519.651851851852,6.651851851851916,0.0,1367.1589766060363,0.0,145.84102339396372,1389.433595568551,0.0,123.56640443144897,1415.4477094275153,0.0,97.55229057248471,1462.380563116378,0.0,50.61943688362203,1533.5434269457037,20.543426945703686,0.0
10,1109,140,1783,1232.3168150225597,1519.651851851852,0.0,263.3481481481481,1232.3168150225597,0.0,550.6831849774403,1257.059004458548,0.0,525.9409955414519,1281.8896561713686,0.0,501.11034382863136,1323.9530525386708,0.0,459.0469474613292,1392.2217613249627,0.0,390.7782386750373
10,1109,141,1446,1273.3115571304818,1519.651851851852,73.65185185185192,0.0,1273.3115571304818,0.0,172.6884428695182,1295.0131996403366,0.0,150.98680035966345,1317.1913535598803,0.0,128.80864644011967,1368.8650770981274,0.0,77.13492290187264,1440.764483020323,0.0,5.235516979676959
10,1109,142,1689,1276.4336344385174,1519.651851851852,0.0,169.34814814814808,1276.4336344385174,0.0,412.5663655614826,1298.9856063778022,0.0,390.01439362219776,1326.451922659793,0.0,362.5480773402071,1371.5276049574052,0.0,317.4723950425948,1456.0191308605868,0.0,232.98086913941324
10,1109,143,1810,1276.0294495756355,1519.651851851852,0.0,290.3481481481481,1276.0294495756355,0.0,533.9705504243645,1302.9618118402277,0.0,507.0381881597723,1327.064413765868,0.0,482.93558623413196,1381.6379336978202,0.0,428.36206630217976,1445.2777988764726,0.0,364.7222011235274
10,1109,144,1905,1276.0294495756355,1519.651851851852,0.0,385.3481481481481,1276.0294495756355,0.0,628.9705504243645,1295.8569149414952,0.0,609.1430850585048,1318.7943148880258,0.0,586.2056851119742,1365.1681382917563,0.0,539.8318617082437,1412.8383540935909,0.0,492.16164590640915
10,1109,145,1525,1276.4336344385174,1519.651851851852,0.0,5.348148148148084,1276.4336344385174,0.0,248.5663655614826,1299.9341164173854,0.0,225.06588358261456,1326.9329860102278,0.0,198.06701398977225,1379.2430006042123,0.0,145.75699939578772,1434.3329080623198,0.0,90.6670919376802
10,1198,136,432,342.64896659180846,340.76296296296294,0.0,91.23703703703706,342.64896659180846,0.0,89.35103340819154,362.1589557742178,0.0,69.84104422578218,389.35647024161375,0.0,42.64352975838625,437.8310858055638,5.831085805563816,0.0,499.04299117604035,67.04299117604035,0.0
10,1198,137,298,329.7056142519681,340.76296296296294,42.762962962962945,0.0,329.7056142519681,31.705614251968086,0.0,355.88356618773076,57.883566187730764,0.0,386.5314213437889,88.5314213437889,0.0,439.52064204485043,141.52064204485043,0.0,502.66944764132705,204.66944764132705,0.0
10,1198,138,431,322.1617751880535,340.76296296296294,0.0,90.23703703703706,322.1617751880535,0.0,108.83822481194647,341.81965011550136,0.0,89.18034988449864,362.54750382503636,0.0,68.45249617496364,403.318469960698,0.0,27.681530039302004,471.69429561281777,40.69429561281777,0.0
10,1198,139,406,286.7260346411558,340.76296296296294,0.0,65.23703703703706,286.7260346411558,0.0,119.27396535884418,307.4815656871419,0.0,98.51843431285812,333.51510638455665,0.0,72.48489361544335,376.2081831807341,0.0,29.791816819265875,429.22811348828014,23.228113488280144,0.0
10,1198,140,688,306.4493982778408,340.76296296296294,0.0,347.23703703703706,306.4493982778408,0.0,381.5506017221592,329.9834219106696,0.0,358.0165780893304,354.9010705613022,0.0,333.0989294386978,404.479337893556,0.0,283.520662106444,470.68670651705213,0.0,217.31329348294787
10,1198,141,594,264.952810380306,340.76296296296294,0.0,253.23703703703706,264.952810380306,0.0,329.047189619694,286.17006563855506,0.0,307.82993436144494,312.7351101565278,0.0,281.2648898434722,375.28705530465413,0.0,218.71294469534587,441.7404457559855,0.0,152.2595542440145
10,1198,142,325,250.35830933774224,340.76296296296294,15.762962962962945,0.0,250.35830933774224,0.0,74.64169066225776,273.2338856025632,0.0,51.76611439743681,296.4409485486064,0.0,28.5590514513936,344.4971446972764,19.497144697276383,0.0,417.60870362226655,92.60870362226655,0.0
10,1198,143,270,212.9595232947396,340.76296296296294,70.76296296296294,0.0,212.9595232947396,0.0,57.0404767052604,236.57116619944733,0.0,33.42883380055267,257.556889729583,0.0,12.44311027041698,304.2864848208197,34.28648482081968,0.0,343.4449967934705,73.44499679347052,0.0
10,1198,144,540,212.9595232947396,340.76296296296294,0.0,199.23703703703706,212.9595232947396,0.0,327.0404767052604,233.32271146305897,0.0,306.67728853694103,259.72997619297126,0.0,280.27002380702874,309.0947119576209,0.0,230.90528804237908,360.7836402385616,0.0,179.2163597614384
10,1198,145,406,212.9595232947396,340.76296296296294,0.0,65.23703703703706,212.9595232947396,0.0,193.0404767052604,236.2706342894347,0.0,169.7293657105653,254.67269101778126,0.0,151.32730898221874,310.5408619884205,0.0,95.45913801157951,381.818031596339,0.0,24.181968403661017
10,1207,136,216,228.78924204240496,217.66417910447763,1.6641791044776255,0.0,228.78924204240496,12.789242042404965,0.0,252.8449959705428,36.84499597054281,0.0,279.9859097320193,63.98590973201931,0.0,324.26883092767486,108.26883092767486,0.0,385.59358785217233,169.59358785217233,0.0
10,1207,137,351,224.12643193235346,217.66417910447763,0.0,133.33582089552237,224.12643193235346,0.0,126.87356806764654,245.7704231828942,0.0,105.2295768171058,270.7935262257069,0.0,80.2064737742931,338.66655427997546,0.0,12.333445720024542,415.2924791354162,64.29247913541622,0.0
10,1207,138,94,229.4225588949064,217.66417910447763,123.66417910447763,0.0,229.4225588949064,135.4225588949064,0.0,249.84361520998291,155.84361520998291,0.0,269.758183972658,175.758183972658,0.0,317.98615138743185,223.98615138743185,0.0,376.50583266209395,282.50583266209395,0.0
10,1207,139,82,220.52029030010596,217.66417910447763,135.66417910447763,0.0,220.52029030010596,138.52029030010596,0.0,242.183106940657,160.183106940657,0.0,264.0923026917272,182.09230269172718,0.0,317.88625317614526,235.88625317614526,0.0,371.96570120544123,289.96570120544123,0.0
10,1207,140,337,217.11369289047187,217.66417910447763,0.0,119.33582089552237,217.11369289047187,0.0,119.88630710952813,238.72876850650252,0.0,98.27123149349748,267.27317151759604,0.0,69.72682848240396,325.0389031530065,0.0,11.961096846993485,396.6207132686289,59.62071326862889,0.0
10,1207,141,175,197.59740784798163,217.66417910447763,42.664179104477626,0.0,197.59740784798163,22.59740784798163,0.0,212.9607570574166,37.9607570574166,0.0,244.72978049001782,69.72978049001782,0.0,293.60671188921566,118.60671188921566,0.0,344.9698946703033,169.9698946703033,0.0
10,1207,142,135,217.11369289047187,217.66417910447763,82.66417910447763,0.0,217.11369289047187,82.11369289047187,0.0,238.92190305861388,103.92190305861388,0.0,267.95124549121937,132.95124549121937,0.0,315.25648717948667,180.25648717948667,0.0,385.9216451246522,250.92164512465217,0.0
10,1207,143,136,222.9418104599169,217.66417910447763,81.66417910447763,0.0,222.9418104599169,86.9418104599169,0.0,249.61032813118186,113.61032813118186,0.0,273.07949524770254,137.07949524770254,0.0,322.9375006669884,186.9375006669884,0.0,402.31468094619476,266.31468094619476,0.0
10,1207,144,284,222.9418104599169,217.66417910447763,0.0,66.33582089552237,222.9418104599169,0.0,61.058189540083106,248.4402037950805,0.0,35.55979620491951,271.2692347548112,0.0,12.73076524518882,325.21310102044174,41.21310102044174,0.0,404.2995413999442,120.29954139994419,0.0
